# parent | original child account name | name,longitude,latitude;... | source chapter; coordinates are author approximations, not survey points.
ming-01|顺天府|通州,116.66,39.91;蓟州,117.41,40.05;密云,116.85,40.38;昌平,116.23,40.22;霸州,116.39,39.13;涿州,115.97,39.49;遵化,117.96,40.19;丰润,118.15,39.83;宝坻,117.31,39.72|明史40
ming-01|保定府|易州,115.50,39.35;涞水,115.71,39.40;唐县,114.98,38.75;定兴,115.81,39.26;安肃,115.65,39.02;祁州,115.32,38.42|明史40
ming-01|河间府|沧州,116.87,38.29;景州,116.27,37.70;献县,116.12,38.20;静海,116.92,38.94;盐山,117.23,38.06|明史40
ming-01|真定府|冀州,115.58,37.55;深州,115.55,38.00;赵州,114.78,37.75;平山,114.19,38.25;赞皇,114.39,37.67|明史40
ming-01|大名府|开州,115.03,35.72;濮州,115.50,35.56;长垣,114.67,35.21|明史40
ming-01|永平府|迁安,118.70,40.01;昌黎,119.16,39.71;滦州,118.74,39.74|明史40
ming-01|广平府|邯郸,114.49,36.61;成安,114.67,36.45;磁州,114.38,36.36|明史40
ming-02|应天府|溧水,119.02,31.65;江浦,118.63,32.05;高淳,118.89,31.33;六合,118.84,32.35|明史40
ming-02|苏州府|常熟,120.75,31.65;太仓,121.10,31.45;昆山,120.98,31.38;吴江,120.64,31.16;崇明,121.39,31.62|明史40
ming-02|松江府|上海,121.48,31.23;青浦,121.12,31.15|明史40
ming-02|常州府|江阴,120.28,31.92;宜兴,119.82,31.35;无锡,120.30,31.57|明史40
ming-02|扬州府|高邮,119.45,32.78;泰州,119.91,32.49;通州,120.87,32.02|明史40
ming-02|淮安府|盐城,120.14,33.38;海州,119.13,34.57;邳州,117.97,34.31;沭阳,118.77,34.13|明史40
ming-02|凤阳府|寿州,116.78,32.57;亳州,115.78,33.85;宿州,116.98,33.64;泗州,118.49,33.12;颍州,115.82,32.90;霍丘,116.28,32.35|明史40
ming-02|徽州府|祁门,117.72,29.86;婺源,117.86,29.25;休宁,118.19,29.79;黟县,117.93,29.93|明史40
ming-03|杭州府|临安,119.73,30.23;於潜,119.39,30.19;新城,119.73,29.95|明史44
ming-03|绍兴府|余姚,121.15,30.05;嵊县,120.82,29.59;诸暨,120.23,29.72;新昌,120.90,29.50|明史44
ming-03|宁波府|定海,121.71,29.96;奉化,121.41,29.65;象山,121.87,29.48;慈溪,121.45,29.98|明史44
ming-03|台州府|仙居,120.73,28.85;天台,121.03,29.14;宁海,121.43,29.29|明史44
ming-04|福州府|福清,119.38,25.72;连江,119.54,26.20;古田,118.89,26.58;罗源,119.55,26.49|明史45
ming-04|泉州府|同安,118.15,24.73;安溪,118.18,25.06;永春,118.29,25.32;德化,118.24,25.49|明史45
ming-04|漳州府|龙溪,117.66,24.52;龙岩,117.02,25.10;诏安,117.18,23.71;漳浦,117.62,24.12|明史45
ming-04|汀州府|上杭,116.42,25.04;宁化,116.65,26.26;清流,116.82,26.18|明史45
ming-07|南昌府|宁州,114.56,29.04;武宁,115.09,29.26;丰城,115.79,28.20;进贤,116.26,28.37|明史43
ming-07|吉安府|泰和,114.88,26.79;永新,114.24,26.95;安福,114.62,27.39|明史43
ming-07|赣州府|瑞金,116.02,25.88;雩都,115.42,25.95;会昌,115.79,25.60;龙南,114.79,24.91|明史43
ming-08|长沙府|浏阳,113.64,28.15;湘潭,112.94,27.83;宁乡,112.55,28.28;醴陵,113.50,27.66|明史44
ming-08|衡州府|衡山,112.87,27.23;耒阳,112.85,26.42;常宁,112.40,26.42|明史44
ming-08|荆州府|江陵,112.19,30.35;公安,112.23,30.06;石首,112.42,29.72;夷陵,111.28,30.70;松滋,111.76,30.17|明史44
ming-08|襄阳府|谷城,111.65,32.27;南漳,111.84,31.78;宜城,112.26,31.71;枣阳,112.77,32.13|明史44
ming-08|辰州府|沅陵,110.40,28.46;泸溪,110.21,28.22;溆浦,110.59,27.91|明史44
ming-08|永州府|祁阳,111.84,26.58;东安,111.32,26.40;道州,111.60,25.53;宁远,111.94,25.57|明史44
ming-09|开封府|郑州,113.63,34.75;许州,113.85,34.03;陈州,114.89,33.73;兰阳,114.81,34.83;封丘,114.42,35.04|明史42
ming-09|南阳府|邓州,112.09,32.69;内乡,111.85,33.05;裕州,113.01,33.26;唐县,112.83,32.69|明史42
ming-09|河南府|嵩县,112.09,34.13;卢氏,111.05,34.05;新安,112.13,34.74;渑池,111.76,34.76|明史42
ming-10|太原府|忻州,112.73,38.41;代州,112.96,39.07;平定,113.63,37.79;榆次,112.74,37.69;岢岚,111.57,38.70|明史41
ming-10|平阳府|蒲州,110.30,34.85;解州,110.86,34.92;绛州,111.22,35.61;吉州,110.68,36.10;隰州,110.94,36.69|明史41
ming-10|潞安府|襄垣,113.05,36.54;黎城,113.39,36.50;长子,112.88,36.12|明史41
ming-11|西安府|同州,109.94,34.80;华州,109.77,34.51;商州,109.94,33.87;邠州,108.08,35.03;耀州,108.98,34.91;韩城,110.44,35.48|明史42
ming-11|延安府|绥德,110.26,37.51;宜川,110.17,36.05;洛川,109.43,35.76;延长,110.01,36.58;米脂,110.18,37.76|明史42
ming-11|汉中府|西乡,107.77,32.98;略阳,106.15,33.33;宁羌,106.26,32.83;凤县,106.52,33.91|明史42
ming-11|平凉府|固原,106.28,36.01;静宁,105.73,35.52;泾州,107.37,35.33;隆德,106.12,35.62|明史42
ming-11|巩昌府|秦州,105.72,34.58;成县,105.74,33.75;徽州,106.09,33.77;伏羌,105.33,34.75|明史42
ming-12|成都府|绵州,104.74,31.46;茂州,103.86,31.68;灌县,103.62,30.99;崇庆州,103.67,30.63;简州,104.55,30.39;汉州,104.28,30.98|明史43
ming-12|重庆府|合州,106.26,29.99;涪州,107.39,29.71;江津,106.26,29.29;长寿,107.08,29.86|明史43
ming-12|顺庆府|广安州,106.63,30.47;蓬州,106.42,31.06;西充,105.90,31.00|明史43
ming-12|保宁府|巴州,106.75,31.86;剑州,105.53,32.04;广元,105.83,32.44;南部,106.07,31.35|明史43
ming-12|夔州府|万县,108.40,30.81;云阳,108.89,30.95;巫山,109.88,31.07;大宁,109.63,31.40|明史43
ming-05|广州府|南海,113.12,23.03;东莞,113.75,23.05;增城,113.83,23.29;从化,113.58,23.55;新会,113.03,22.46;香山,113.38,22.52|明史45
ming-05|肇庆府|德庆,111.79,23.14;开建,111.86,23.59;阳春,111.79,22.17;阳江,111.97,21.86|明史45
ming-05|惠州府|河源,114.69,23.74;龙川,115.26,24.10;海丰,115.34,22.97;博罗,114.28,23.17|明史45
ming-05|潮州府|程乡,116.12,24.29;揭阳,116.37,23.55;饶平,117.00,23.99;大埔,116.69,24.35|明史45
ming-06|桂林府|全州,111.07,25.93;灌阳,111.16,25.49;临桂,110.21,25.25|明史45
ming-06|平乐府|荔浦,110.40,24.50;恭城,110.83,24.83;昭平,110.81,24.17|明史45
ming-14|云南府|安宁,102.48,24.92;昆阳,102.60,24.67;富民,102.50,25.22;嵩明,103.04,25.34|明史46
ming-14|大理府|宾川,100.58,25.83;云龙,99.37,25.89;邓川,100.11,26.02;太和,100.17,25.70|明史46
